QKEY,KP_W32,Device_Type_W32,LANGUAGE_W32,FORM_W32,SATLIFEA_W32,SATLIFEB_W32,SATLIFEC_W32,SATLIFED_W32,SATLIFEE_W32,SOCASSIGN_W32,SOCTRUST_W32,SOCTRUST2_W32,SOCTRUST3_W32,SOCTRUST4_W32,SOCTRUST5_W32,COMMYRS_W32,COMATTACH_W32,FEELA_W32,FEELB_W32,FEELC_W32,FEELD_W32,INC_W32,INCFUTURE_W32,COMMIMPA_W32,COMMIMPB_W32,COMMIMPC_W32,COMMIMPD_W32,COMMIMPE_W32,COMMIMPF_W32,COMMIMPG_W32,COMMIMPH_W32,FAMNEAR_W32,SUCCESSIMPA_W32,SUCCESSIMPB_W32,SUCCESSIMPC_W32,SUCCESSIMPD_W32,FEDSHAREA_W32,FEDSHAREB_W32,FEDSHAREC_W32,LOCALPROBA_W32,LOCALPROBB_W32,LOCALPROBC_W32,LOCALPROBD_W32,LOCALPROBE_W32,LOCALPROBF_W32,LOCALPROBG_W32,LOCALPROBH_W32,LOCALPROBI_W32,LOCALPROBJ_W32,LOCALPROBK_W32,LOCALPROBL_F1_W32,LOCALPROBM_F2_W32,JOBSFUTURE_W32,HARASS1A_W32,HARASS1B_W32,HARASS1C_W32,HARASS1D_W32,HARASS2F1_W32,HARASS3F2_W32,HARASS4_W32,HARASS5_W32,GROWUPNEAR_W32,LIFELOC_W32,REASSTAY_m1_W32,REASSTAY_m2_W32,REASSTAY_m3_W32,REASBACK_m1_W32,REASBACK_m2_W32,REASBACK_m3_W32,REASMOVE_m1_W32,REASMOVE_m2_W32,REASMOVE_m3_W32,VALUEURBAN_W32,VALUESUBURB_W32,VALUERURAL_W32,NEIGHKNOW_W32,NEIGHINTERA_W32,NEIGHINTERB_W32,NEIGHINTERC_W32,NEIGHINTERD_W32,NEIGHKEYS_W32,NEIGHKIDS_W32,NEIGHSAMEA_W32,NEIGHSAMEB_W32,NEIGHSAMEC_W32,IMMCOMM_W32,IMMIMPACT_W32,GROWUPUSR_W32,COMTYPE2_W32,CITYSIZE_W32,SUBURBNEAR_W32,COMTYPE2_INS_W32,VIEWCOMM_W32,PROBSELF_W32,PROBURBAN_W32,PROBSUBURB_W32,PROBRURAL_W32,WANTMOVE_W32,WILLMOVE_W32,MOVEURBAN_W32,MOVESUBURB_W32,MOVERURAL_W32,THERMTRUMP_W32,THERMOBAMA_W32,THERMPENCE_W32,ETHNCMAJ_W32,IMMCULT2_W32,MARRFAM2_W32,ECONFAIR2_W32,WOMENOPPS_W32,GOVT_ROLE_W32,WHADVANT_W32,GAYMARR2_W32,ABORTION_W32,ABORTIONRESTR_W32,ABORTIONALLOW_W32,CLASS_W32,MISINFG_W32,MISINFT_W32,F_CREGION_FINAL,F_AGECAT_FINAL,F_SEX_FINAL,F_EDUCCAT_FINAL,F_EDUCCAT2_FINAL,F_HISP_RECRUITMENT,F_RACECMB_RECRUITMENT,F_RACETHN_RECRUITMENT,F_CITIZEN_RECODE_FINAL,F_MARITAL_FINAL,F_RELIG_FINAL,F_BORN_FINAL,F_ATTEND_FINAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME_FINAL,F_INCOME_RECODE_FINAL,F_REG_FINAL,F_IDEO_FINAL,F_INTUSER_FINAL,F_VOLSUM_FINAL,DIVISION_BY_MSA,WEIGHT_W32,WEIGHT_W32_ATP
100734,0,1,9,2,1,1,1, ,1,3, , ,10, , ,3,2,3,1,1,2,1, ,1,1,2,3,2,3,2,2,4,1,1,1,1,3,3,3,3,3,3,3,3,2,3,2,2,3,3, ,3,1,3,3,2,3, ,1,1,3,2, , , , , , , , , , ,3,1,3,3,2,2,1,3,1,1,1,1,4,4, ,1,2, ,2,2,1,2,2, ,1,2,2, , , ,0,10,0,1,2,2,2,2,1,2,2,1,2, ,1, ,1,3,4,2,1,6,2,1,1,1,1,1,2,1,2, ,2,8,1,1,5,1,1,7,0.1604259837,0.1973828227
100803,0,3,9,1,1,1,1, ,1,4, , , ,2, ,5,1,3,1,1,2,1, ,3,1,2,2,2,2,1,2,3,2,1,1,1,1,3,2,3,2,3,3,3,3,2,2,2,2,3,3, ,1,1,1,1,2,1, ,1,2,2, , , , , , , , , , ,3,2,1,2,3,6,6,5,1,8,1,1,2,1,1,3,3, , ,3,3,3,3,3, ,2,4, , , ,45,10,50,3,2,1,1,1,2,2,4,2, ,1,3,1, ,2,3,2,1,5,2,1,1,1,1,1,1,2,1, ,1,8,1,1,2,1,1,12,0.1187506131,0.1892501726
101224,0,3,9,2,1,1,1,1,2,2, ,2, , , ,5,1,3,1,1,4,1, ,2,1,4,3,1,1,1,3,1,2,1,1,1,2,1,2,1,1,2,2,2,2,2,2,2,1,2, ,2,3,2,2,2,2, ,2,2, ,1,1,1,2, , , , , , , ,4,3,2,2,3,5,5,5,1,2,2,4,2,3,3,3,3, , ,3,2,3,3,3, ,2,4, , , ,100,1,100,3,1,1,1,1,2,3,4,2, ,1,3, ,1,3,4,1,3,2,2,1,1,1,1,1,1,1,1, ,1,5,2,1,3,1,1,7,0.267358804,0.4430682837
101322,0,1,9,2,3,3,4,3,3,4, , , ,4, ,2,4,1,3,3,1,2,2,1,1,4,2,1,2,1,4,1,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1, ,1,2,1,1,2,2, ,2,2, ,1,2, , , ,4,1, , , , ,1,1,1,3,5,5,6,6,1,1,4,2,4,1,2,2,3, , ,3,2,3,3,3, ,1,2, , ,3,50,0,50,2,1,1,1,1,1,4,4,2, ,1,5, ,2,3,2,1,3,2,2,1,1,1,6,12, ,6,1, ,1,3,3,3,2,1,2,7,3.2116325985,3.4014252776
101437,0,3,9,1,1,2,1, ,2,4, , , ,3, ,3,4,3,2,1,3,1, ,3,1,2,2,2,3,2,2,4,2,1,1,2,3,3,2,2,1,3,3,3,2,2,2,2,2,3,2, ,3,3,3,1,1,3, ,1,3,2, , , , , , , , , , ,2,3,1,3,5,6,6,6,1,8,2,2,2,1,3,2,3, , ,3,2,3,3,3, ,3,3, , , ,90,10,90,3,1,1,1,1,2,4,4,2, ,2,2,1, ,2,3,2,2,3,2,1,1,1,3,1,1,2,1, ,1,2,3,1,2,1,2,12,0.458769011,0.8229603129
101472,0,3,9,2,2,2,2,2,2,4, , , ,2, ,1,3,2,1,1,3,1, ,2,1,3,3,1,3,1,3,4,2,1,1,1,3,3,2,2,3,3,3,1,3,2,1,2,3,2, ,2,3,1,1,1,1, ,3,2, ,2, , , , , , , , , , ,3,2,1,4, , , , , , ,2,2,3,1,1,3,1,1, ,1,3,2, ,2,1,1,1,1, , ,60,73,75,3,2,1,2,1,2,3,2,1,1, ,3, ,2,3,2,1,1,6,2,1,1,1,1,2,2,4,3,1,1,8,1,1,3,1,2,13,0.6004173879,0.3758517848
101485,0,1,9,2,3,2,3,3,3,3, , ,2, , ,3,4,3,2,2,4,2,2,2,1,2,4,1,2,2,4,2,3,1,1,1,1,1,2,1,1,3,1,1,1,3,1,2,1,1, ,1,3,1,1,1,1, ,2,1,2,2, , , , , , , , , , ,4,3,1,3,5,5,6,6,2,8,5,4,4,1,2,3,2, ,1,2,2,3,2, ,2,1,1, ,3, ,5,0,5,2,1,2,1,2,2,4,2,2, ,1,3, ,1,4,3,2,2,3,2,4,4,1,5,1,1,2,1, ,1,7,1,1,2,1,1,15,0.2478669744,0.2536384993
101493,0,1,9,1,1,1,4, ,4,3, , ,5, , ,4,2,4,1,2,2,2,2,2,3,2,2,3,3,1,3,2,2,1,1,1,2,3,99,1,1,3,1,1,3,2,1,1,1,2,1, ,2,1,1,3,1,2, ,2, ,1,1,1,5, , , , , , , ,3,4,3,2,5,5,6,5,1,8,4,5,2,1,2,2,3, , ,3,2,4,3,1, ,3,4, , , ,100,0,100,2,1,1,1,1,1,4,4,2, ,1,4,2, ,4,3,1,3,2,1,1,3,1,1,10, ,6,1, ,1,3,3,1,2,1,2,17,1.4350592726,1.1680737794
102009,0,1,9,1,1,2,2,2,2,5, , , , ,2,4,2,2,2,1,1,2,2,2,3,2,2,2,4,3,4,4,1,1,1,1,3,1,3,3,3,3,3,3,2,3,2,2,2,2,2, ,3,2,2,1,2,3, ,2, ,2, , , , , , , , , , ,2,3,3,2,2,4,3,5,2,8,2,2,2,1,1,2,1,1, ,1,3,3, ,2,2,3,2, , , ,0,9,0,3,2,2,1,2,1,1,2,1,2, ,3,1, ,3,3,1,2,3,2,1,1,1,1,10, ,6,2, ,2,9,1,1,4,1,1,13,0.1143610565,0.0881660642
102198,0,1,9,1,1,1,2,1,1,5, , , , ,1,2,2,4,1,1,3,2,1,2,2,2,3,3,2,2,2,4,2,1,2,1,1,3,2,2,1,3,2,3,3,3,2,1,2,2,3, ,1,2,1,2,2,1, ,2, ,2, , , , , , , , , , ,3,2,2,1,1,6,4,5,1,1,3,2,3,3,1,3,2, ,1,2,2,3,3, ,2,3,1, , , ,65,22,76,1,2,1,1,1,2,2,4,2, ,2,2,2, ,1,1,2,2,3,2,1,1,1,6,1,1,1,1, ,1,7,1,1,2,1,1,3,0.9769847121,1.3190581855
102584,0,3,9,1,2,3,3, ,3,1,2, , , , ,5,2,2,2,2,3,1, ,2,1,3,3,2,1,3,4,3,2,1,1,1,3,3,3,3,2,3,3,3,3,3,1,3,3,3,3, ,3,3,1,2,2,3, ,2, ,1,1,5, , , , , , , , ,2,2,2,3,3,4,5,6,1,1,2,3,3,1,3,1,1,3, ,1,2,3, ,2,2,2,4, , , ,0,50,0,3,2,2,1,1,1,2,2,1,1, ,4,1, ,2,4,1,3,2,2,1,1,1,5,12, ,5,3,2,2,4,2,1,3,1,2,11,0.9654947013,1.4745825991
102782,0,3,9,1,2,2,2,2,2,1,1, , , , ,5,2,4,1,1,3,2,2,1,1,2,3,2,2,2,3,3,2,1,1,1,3,3,2,3,2,3,3,3,3,2,1,2,2,3,2, ,3,2,2,1,2,3, ,1,3,2, , , , , , , , , , ,2,2,3,3,3,5,5,5,1,8,2,2,3,3,3,2,2, ,1,2,2,4,2, ,2,1,2, ,1, ,0,50,0,3,1,2,1,2,1,1,2,1,1, ,3,2, ,3,4,2,1,6,2,9,9,1,1,1,1,6,3,2,2,99,99,1,3,1,1,7,0.4742499025,0.2969525661
102932,0,2,9,1,1,1,1,1,1,5, , , , ,1,4,2,3,1,1,3,1, ,1,3,2,3,1,3,1,4,4,1,1,1,2,1,3,2,2,3,3,3,1,1,1,3,1,2,2,1, ,2,3,3,2,3,3, ,2, ,1,1,9, , , , , , , , ,1,3,3,3,4,3,4,4,1,8,2,2,4,3,1,1,3, , ,3,3,3,1,1, ,2,2, , , ,0,78,0,1,2,2,2,2,1,1,1,1,1, ,2,2, ,3,4,1,1,6,2,1,1,1,1,11, ,6,2, ,2,9,1,1,5,1,1,14,0.0946850337,0.1099695077
103060,0,1,9,1,2,2,1, ,2,1,1, , , , ,4,3,3,1,1,3,1, ,1,1,1,3,1,1,2,3,3,2,1,1,2,99,99,99,2,1,3,2,3,1,1,2,1,2,1,2, ,2,1,99,1,1,1, ,1,2,2, , , , , , , , , , ,99,2,4,4, , , , , , ,2,4,4,1,1,99,2, ,99,2,99,99,4, ,4,1,4, ,3, ,0,8,3,2,2,2,1,2,1,1,1,1,1, ,1,2, ,3,4,2,2,4,2,1,1,1,1,12, ,5,2, ,2,7,1,1,4,1,1,7,0.332728911,0.2594869364
103094,0,1,9,2,1,2,2,2,2,5, , , , ,2,4,3,3,1,2,2,2,2,2,2,2,2,2,3,2,2,3,3,1,2,1,2,2,2,2,1,1,2,1,2,1,1,2,1,3, ,2,2,2,2,1,2, ,2,2, ,1,1,10, , , , , , , , ,3,3,2,2,6,5,6,6,2,2,5,5,5,4, ,2,2, ,2,2,2,2,2, ,2,2,2, , , ,3,8,5,3,1,1,2,2,2,2,3,1,2, ,3, ,2,1,2,2,3,2,2,1,1,1,4,2,2,6,4,99,9,2,3,3,5,1,2,3,2.3155590978,2.8227439861
103190,0,1,9,1,2,3,3, ,3,2, ,1, , , ,4,3,2,2,1,3,1, ,2,1,1,3,1,1,2,2,3,2,2,1,1,3,3,2,2,2,3,2,3,2,2,2,2,2,2,2, ,1,2,2,2,2,2, ,1,2,2, , , , , , , , , , ,3,3,3,3,4,5,5,5,2,2,2,3,3,3,1,1,2, ,1,2,3,3,2, ,4,1,3, ,2, ,0,0,0,3,2,1,1,2,2,2,2,1,1, ,3,2, ,2,4,1,1,6,2,1,1,1,1,2,1,4,4,99,9,99,99,1,3,1,1,11,0.1433565982,0.2049809562
103256,0,2,9,1,1,2,1, ,1,3, , ,7, , ,5,2,4,1,2,3,1, ,3,2,3,3,2,1,3,3,1,1,1,1,1,1,2,3,2,2,3,3,3,3,3,2,2,2,3,2, ,1,2,2,1,1,3, ,2, ,1,2, , , ,1, , , , , ,3,2,3,3,3,3,4,5,1,8,2,4,5,2,3,2,2, ,1,2,2,2,2, ,2,2,4, , , ,25,10,50,2,1,1,2,1,2,2,3,1,1, ,2,2, ,4,4,1,1,5,2,1,1,1,3,1,2,6,3,1,1,8,1,1,3,1,2,17,0.4367604207,0.33834381
103379,0,2,9,2,1,1,1,1,1,3, , ,10, , ,5,2,2,1,1,3,1, ,2,1,3,1,1,1,1,3,1,2,1,1,1,1,2,1,2,1,3,3,3,3,2,3,3,2,2, ,1,1,3,3,3,3, ,2,1,2,2, , , , , , , , , , ,4,2,2,3,2,4,6,6,1,1,2,4,2,3,3,99,2, ,3,2,3,3,1, ,1,2,3, , , ,100,0,90,2,1,1,2,1,2,2,4,2, ,1,2, ,2,3,4,1,2,3,2,1,1,1,1,1,1,2,1, ,1,9,1,1,99,1,1,7,0.4738676309,0.3984803181
103406,0,1,9,2,1,2,3,1,1,5, , , , ,1,4,1,3,2,1,2,2,1,2,1,2,3,2,2,2,3,2,2,1,1,2,2,3,2,2,2,3,3,3,2,2,3,2,2,3, ,1,1,3,3,1,1, ,3,1,2,2, , , , , , , , , , ,2,2,2,2,3,5,2,4,1,1,2,2,4,1,1,2,2, ,2,2,3,2,3, ,3,2,2, , , ,0,100,0,3,2,2,1,2,1,1,1,1,1, ,2, ,2,3,2,2,1,6,2,1,1,1,1,2,2,3,2, ,2,8,1,1,4,1,1,7,0.2701643506,0.2672923193
103414,0,3,9,1,2,3,3, ,3,4, , , ,2, ,4,2,2,2,3,2,2,2,2,3,1,4,2,2,3,4,3,3,1,1,1,2,3,2,2,2,3,3,3,2,1,1,2,2,3,1, ,3,2,3,1,1,1, ,1,3,2, , , , , , , , , , ,2,2,3,3,5,6,6,6,1,8,2,2,4,2,3,2,2, ,1,2,2,2,3, ,3,3,4, , , ,0,100,0,1,2,2,1,2,1,3,1,1,2, ,4,2, ,3,2,2,1,5,2,1,1,1,1,12, ,5,2, ,2,6,2,1,5,1,2,7,0.7390863493,0.8324411378
103519,0,3,9,2,2,2,1,2,1,1,1, , , , ,5,2,3,1,1,2,1, ,1,1,2,2,1,1,1,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3, ,3,3,3,3,1,2, ,1,2, ,1,1,12,5,8, , , , , , ,2,2,2,2,3,4,4,5,1,1,2,2,3,2,1,2,2, ,1,2,2,3,3, ,3,3,2, , , ,0,75,35,3,2,1,1,1,1,99,2,2, ,1,1, ,1,2,3,1,1,6,2,1,1,1,1,2,2,2,3,2,2,99,99,1,3,1,1,5,0.2223379662,0.1233388822
103538,0,3,9,2,1,1,2,1,2,4, , , ,2, ,3,2,4,1,1,2,1, ,3,4,3,3,1,3,2,3,2,2,1,1,1,1,3,2,2,3,3,2,1,2,3,2,2,2,3, ,3,3,2,2,2,2, ,2,1,1,2, , , , , , , , , , ,3,3,2,3,5,6,5,5,1,8,2,2,3,4, ,3,3, , ,3,3,4,1,1, ,2,3, , , ,33,1,0,2,1,99,1,2,1,3,4,1,2, ,3, ,1,4,3,1,1,5,2,1,1,1,1,12, ,4,3,1,1,99,99,1,2,1,2,15,0.3275220389,0.4173650479
103611,0,1,9,2,3,3,4, ,2,1,1, , , , ,1,4,2,2,2,4,2,2,1,1,4,3,3,1,1,3,3,2,1,1,1,1,3,2,2,2,1,2,3,3,3,3,3,2,2, ,3,3,2,3,1,1, ,1,2, ,1,2, , , ,7, , , , , ,2,1,1,3,3,6,6,6,1,8,1,4,3,2,2,1,1,3, ,1,3,3, ,1,3,1,2,2, , ,50,0,50,2,1,1,1,2,2,4,2,1,2, ,3, ,1,1,4,2,1,6,2,1,1,1,6,2,2,5,3,1,1,3,3,1,3,1,1,3,0.1937754045,0.1218091439
103677,0,1,9,1,3,2,3, ,3,2, ,2, , , ,4,3,3,1,2,2,2,2,3,1,3,3,3,3,3,3,3,1,1,1,1,1,2,1,3,2,3,3,3,3,3,2,2,2,2,2, ,2,2,2,2,2,2, ,2, ,1,2, , , ,98, , , , , ,4,2,1,2,3,5,4,5,1,1,2,2,2,1,3,2,2, ,2,2,2,4,1, ,4,1,4, ,1, ,99,25,95,3,1,1,2,1,2,3,1,2, ,1,2,2, ,1,2,1,2,3,2,1,1,1,1,2,2,4,3,1,1,9,1,1,1,1,1,3,0.4541405018,0.3388044582
103897,0,1,9,1,1,1,2,1,1,2, ,1, , , ,5,1,3,1,1,3,1, ,2,1,1,3,1,2,1,3,2,2,2,1,1,3,1,2,2,2,3,3,3,2,2,1,2,2,3,2, ,3,2,2,2,2,3, ,1,2,1,2, , , ,8,2,1, , , ,2,2,2,2,1,2,2,2,1,1,2,2,3,2,1,2,2, ,2,2,3,2,2, ,2,2,2, , , ,50,100,60,1,2,2,2,2,1,2,2,1,1, ,2,2, ,4,4,1,1,6,2,1,1,1,6,1,2,1,2, ,2,7,1,1,3,1,1,17,0.1750810743,0.1145892243
103956,0,3,9,1,1,2,3, ,2,4, , , ,2, ,2,2,3,1,1,4,2,2,1,1,2,3,2,1,2,3,2,1,1,1,1,2,3,2,1,1,1,2,2,1,1,1,1,2,2,1, ,1,2,2,2,1,1, ,1,3,2, , , , , , , , , , ,1,2,3,2,2,2,2,4,1,8,2,2,3,2,1,1,1,3, ,1,3,4, ,1,2,2,3, , , ,0,100,0,3,2,2,1,2,1,1,1,1,2, ,2,1, ,2,4,2,1,5,2,1,1,1,2,11, ,4,2, ,2,4,2,1,4,1,1,5,0.3536427686,0.2525411523
